time,h1,h2,h3,h4,v1,v2,modo,sp1,sp2,Ki,Kd,Kp,Kw
2024-11-07 16:23:39.117036,25.161603133083663,25.88964604583983,3.6024023166565717,3.0252847730019874,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:43.125320,23.747235741517798,24.8282046385845,2.8027797870238436,2.5030039409306575,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:46.133932,24.262493925979157,25.217369876401367,3.1461417269691974,2.7244520941914594,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:47.139517,24.768604958881927,25.595988941034545,3.432871757017287,2.9138967662848145,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:49.142170,25.687274924093487,25.090761166198963,3.038373840156443,3.25308763925613,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:52.150669,25.388833202504177,24.346714099495856,2.481292776401555,3.1434907035113118,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:53.179242,24.984636279395,24.0876350586448,2.301327780301589,2.9940844488783216,0.7681860302499288,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:55.189310,24.819290902112247,24.819946066481272,2.8864588157472624,2.951907423241669,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:58.217029,26.044531602008522,25.92517742045037,3.7047574015573552,3.3979968329355095,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:00.223698,26.226723802544374,26.08308975999468,3.77526515121028,3.4388828906466826,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:02.228078,25.5051470332752,25.565483213232962,3.3497499260943715,3.1513499431619167,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:05.234564,24.414736607385265,24.787333793366383,2.763779055134682,2.7468135199572243,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:07.238097,24.525455068390627,24.898921530946236,2.880047120537733,2.805944963608552,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:08.244857,24.975433556984854,25.247830830175925,3.149496052510265,2.976839579266949,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:10.248124,25.91083848392499,25.36550769819866,3.2241618921292,3.3194244523319494,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:11.274844,26.39704472824605,25.09848067525773,3.012893735592556,3.496825931210555,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:13.257135,25.63584151811715,24.605380922117526,2.6389962149980826,3.210607538818396,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:14.279424,25.240545490648326,24.349606112966622,2.4560308448772514,3.0679183555591254,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:16.269775,24.494646820617145,25.045336218313594,3.007023646145943,2.799079466892333,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:19.278196,25.06707245896997,24.890097072345856,2.8973528127651895,3.019927409975733,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:22.295821,24.814099180695933,25.347849463760905,3.25425478146284,2.9284653554084454,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:25.306678,25.354969802115562,25.227693106151087,3.1475053672499826,3.1244617833590946,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:27.310795,25.447768713045885,24.716627537232867,2.757391033422321,3.1577534613898828,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:30.397093,24.304912632122004,25.20674432139706,3.1556076668885957,2.7420120735538696,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:34.409038,25.35333921962284,24.790437417437264,2.842052812287769,3.1390581607457406,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:36.410243,25.476494242362296,24.871783872840968,2.911584395713236,3.187602634601214,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:37.415325,25.088626610501898,25.259948118427207,3.205695945660699,3.040978484812376,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:39.419700,24.379621011967306,25.39037168571556,3.294682449005692,2.7704556402325924,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:40.426585,24.03461863369715,25.128811059200977,3.0978028005342195,2.6431767449178896,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:42.427199,24.954007779022287,24.616205016704377,2.721677010169028,2.996123258278341,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:43.434655,25.407594566899867,24.362862637654917,2.5385068577295367,3.1765216234706006,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:46.536791,25.087924274613073,25.499036334628762,3.400569534792675,3.047096985041913,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:49.541267,24.032341532169724,25.350642788275387,3.2664816997158557,2.6420988591841237,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:52.553454,24.543654787819953,24.58876100836756,2.710817351761225,2.849322919347945,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:54.555204,25.463158434067623,24.66504420274245,2.790446314750832,3.204333104107319,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:56.575581,25.609593306589282,25.426715096930515,3.359607981095718,3.251796916232335,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:24:58.660907,24.89724753525302,25.526249653729824,3.411436272227607,2.971896925216728,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:25:00.588723,24.943647376769174,25.01899615294565,3.0218446512251496,2.988217512703713,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
